"CubeId";"amarbma"
"PublishingDate";"2025-10-21 10:35"

"Date";"D0";"Value"
"1948-01";"K";
"1948-01";"T0";"4858"
"1948-01";"S0";
"1948-01";"T1";
"1948-01";"S1";
"1948-01";"T2";"4899"
"1948-01";"S2";
"1948-01";"RS";
"1948-01";"E";"2213492"
"1948-02";"K";
"1948-02";"T0";"6260"
"1948-02";"S0";
"1948-02";"T1";
"1948-02";"S1";
"1948-02";"T2";"6043"
"1948-02";"S2";
"1948-02";"RS";
"1948-02";"E";"2213492"
"1948-03";"K";
"1948-03";"T0";"1107"
"1948-03";"S0";
"1948-03";"T1";
"1948-03";"S1";
"1948-03";"T2";"6791"
"1948-03";"S2";
"1948-03";"RS";
"1948-03";"E";"2213492"
"1948-04";"K";
"1948-04";"T0";"967"
"1948-04";"S0";
"1948-04";"T1";
"1948-04";"S1";
"1948-04";"T2";"6355"
"1948-04";"S2";
"1948-04";"RS";
"1948-04";"E";"2213492"
"1948-05";"K";
"1948-05";"T0";"887"
"1948-05";"S0";
"1948-05";"T1";
"1948-05";"S1";
"1948-05";"T2";"6182"
"1948-05";"S2";
"1948-05";"RS";
"1948-05";"E";"2213492"
"1948-06";"K";
"1948-06";"T0";"1001"
"1948-06";"S0";
"1948-06";"T1";
"1948-06";"S1";
"1948-06";"T2";"4962"
"1948-06";"S2";
"1948-06";"RS";
"1948-06";"E";"2213492"
"1948-07";"K";
"1948-07";"T0";"1061"
"1948-07";"S0";
"1948-07";"T1";
"1948-07";"S1";
"1948-07";"T2";"4229"
"1948-07";"S2";
"1948-07";"RS";
"1948-07";"E";"2213492"
"1948-08";"K";
"1948-08";"T0";"1229"
"1948-08";"S0";
"1948-08";"T1";
"1948-08";"S1";
"1948-08";"T2";"4591"
"1948-08";"S2";
"1948-08";"RS";
"1948-08";"E";"2213492"
"1948-09";"K";
"1948-09";"T0";"1464"
"1948-09";"S0";
"1948-09";"T1";
"1948-09";"S1";
"1948-09";"T2";"4531"
"1948-09";"S2";
"1948-09";"RS";
"1948-09";"E";"2213492"
"1948-10";"K";
"1948-10";"T0";"2157"
"1948-10";"S0";
"1948-10";"T1";
"1948-10";"S1";
"1948-10";"T2";"3415"
"1948-10";"S2";
"1948-10";"RS";
"1948-10";"E";"2213492"
"1948-11";"K";
"1948-11";"T0";"3807"
"1948-11";"S0";
"1948-11";"T1";
"1948-11";"S1";
"1948-11";"T2";"3031"
"1948-11";"S2";
"1948-11";"RS";
"1948-11";"E";"2213492"
"1948-12";"K";
"1948-12";"T0";"10857"
"1948-12";"S0";
"1948-12";"T1";
"1948-12";"S1";
"1948-12";"T2";"2408"
"1948-12";"S2";
"1948-12";"RS";
"1948-12";"E";"2213492"
"1949-01";"K";
"1949-01";"T0";"15544"
"1949-01";"S0";
"1949-01";"T1";
"1949-01";"S1";
"1949-01";"T2";"2849"
"1949-01";"S2";
"1949-01";"RS";
"1949-01";"E";"2213492"
"1949-02";"K";
"1949-02";"T0";"12046"
"1949-02";"S0";
"1949-02";"T1";
"1949-02";"S1";
"1949-02";"T2";"3594"
"1949-02";"S2";
"1949-02";"RS";
"1949-02";"E";"2213492"
"1949-03";"K";
"1949-03";"T0";"7261"
"1949-03";"S0";
"1949-03";"T1";
"1949-03";"S1";
"1949-03";"T2";"4800"
"1949-03";"S2";
"1949-03";"RS";
"1949-03";"E";"2213492"
"1949-04";"K";
"1949-04";"T0";"4391"
"1949-04";"S0";
"1949-04";"T1";
"1949-04";"S1";
"1949-04";"T2";"4848"
"1949-04";"S2";
"1949-04";"RS";
"1949-04";"E";"2213492"
"1949-05";"K";
"1949-05";"T0";"4706"
